SKU,Brand,Line,Subline,Series,Wrestler,Year,Category,attribute:pa_brand,attribute:pa_line,attribute:pa_subline,attribute:pa_series,attribute:pa_wrestler,attribute:pa_year-attrib,images
Elite1,Mattel,Elite,Elites,Series 1,Edge,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 1,Edge,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 1/Edge.jpg
Elite2,Mattel,Elite,Elites,Series 1,Undertaker,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 1,Undertaker,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 1/Undertaker.jpg
Elite3,Mattel,Elite,Elites,Series 1,CM Punk,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 1,CM Punk,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 1/CM Punk.jpg
Elite4,Mattel,Elite,Elites,Series 1,MVP,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 1,MVP,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 1/MVP.jpg
Elite5,Mattel,Elite,Elites,Series 1,Rey Mysterio,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 1,Rey Mysterio,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 1/Rey Mysterio.jpg
Elite6,Mattel,Elite,Elites,Series 1,Jeff Hardy (Proto),2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 1,Jeff Hardy,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 1/Jeff Hardy (Proto).jpg
Elite7,Mattel,Elite,Elites,Series 2,R-Truth,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 2,R-Truth,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 2/R-Truth.jpg
Elite8,Mattel,Elite,Elites,Series 2,Matt Hardy,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 2,Matt Hardy,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 2/Matt Hardy.jpg
Elite9,Mattel,Elite,Elites,Series 2,Randy Orton,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 2,Randy Orton,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 2/Randy Orton.jpg
Elite10,Mattel,Elite,Elites,Series 2,Triple H,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 2,Triple H,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 2/Triple H.jpg
Elite11,Mattel,Elite,Elites,Series 2,Batista,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 2,Batista,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 2/Batista.jpg
Elite12,Mattel,Elite,Elites,Series 2,Ted Dibiase,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 2,Ted Dibiase,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 2/Ted Dibiase.jpg
Elite13,Mattel,Elite,Elites,Series 3,Christian,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 3,Christian,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 3/Christian.jpg
Elite14,Mattel,Elite,Elites,Series 3,The Miz,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 3,The Miz,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 3/The Miz.jpg
Elite15,Mattel,Elite,Elites,Series 3,Shawn Michaels,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 3,Shawn Michaels,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 3/Shawn Michaels.jpg
Elite16,Mattel,Elite,Elites,Series 3,John Cena,2010,Mattel > Elite > Elites,Mattel,Elite,Elites,Series 3,John Cena,2010,http://wrestlingfigurehq.com/images/Mattel/Elite/Series 3/John Cena.jpg
