SKU,Brand,Line,Subline,Series,Figure,Year,Category,Wrestler,images
NXT TakeoverElite1,Mattel,Elite,NXT Takeover,Series 1,Bayley,2017,Mattel > Elite > NXT Takeover,Bayley,http://wrestlingfigurehq.com/images/Mattel/Elite/NXT/bayley.jpg
NXT TakeoverElite2,Mattel,Elite,NXT Takeover,Series 1,Austin Aries,2017,Mattel > Elite > NXT Takeover,Austin Aries,
NXT TakeoverElite3,Mattel,Elite,NXT Takeover,Series 1,No Way Jose,2017,Mattel > Elite > NXT Takeover,No Way Jose,
NXT TakeoverElite4,Mattel,Elite,NXT Takeover,Series 1,Seth Rollins,2017,Mattel > Elite > NXT Takeover,Seth Rollins,
NXT TakeoverElite5,Mattel,Elite,NXT Takeover,Series 2,Shinsuke Nakamura,2017,Mattel > Elite > NXT Takeover,Shinsuke Nakamura,
NXT TakeoverElite6,Mattel,Elite,NXT Takeover,Series 2,Asuka,2017,Mattel > Elite > NXT Takeover,Asuka,
NXT TakeoverElite7,Mattel,Elite,NXT Takeover,Series 2,Scott Dawson,2017,Mattel > Elite > NXT Takeover,Scott Dawson,
NXT TakeoverElite8,Mattel,Elite,NXT Takeover,Series 2,Dash Wilder,2017,Mattel > Elite > NXT Takeover,Dash Wilder,
NXT TakeoverElite9,Mattel,Elite,NXT Takeover,Series 3,Alexander Rusev,2018,Mattel > Elite > NXT Takeover,Alexander Rusev,
NXT TakeoverElite10,Mattel,Elite,NXT Takeover,Series 3,Roman Reigns,2018,Mattel > Elite > NXT Takeover,Roman Reigns,
NXT TakeoverElite11,Mattel,Elite,NXT Takeover,Series 3,Bobby Roode,2018,Mattel > Elite > NXT Takeover,Bobby Roode,
NXT TakeoverElite12,Mattel,Elite,NXT Takeover,Series 3,Ember Moon,2018,Mattel > Elite > NXT Takeover,Ember Moon,
NXT TakeoverElite13,Mattel,Elite,NXT Takeover,Series 4,Killian Dain,2019,Mattel > Elite > NXT Takeover,Killian Dain,
NXT TakeoverElite14,Mattel,Elite,NXT Takeover,Series 4,Aleister Black,2019,Mattel > Elite > NXT Takeover,Aleister Black,
NXT TakeoverElite15,Mattel,Elite,NXT Takeover,Series 4,Ruby Riott,2019,Mattel > Elite > NXT Takeover,Ruby Riott,
NXT TakeoverElite16,Mattel,Elite,NXT Takeover,Series 4,Drew McIntyre,2019,Mattel > Elite > NXT Takeover,Drew McIntyre,
Retrofest1,Mattel,Elite,Retrofest,,Shawn Michaels,2018,Mattel > Elite > Retrofest,Shawn Michaels,
Retrofest2,Mattel,Elite,Retrofest,,Macho Man Randy Savage,2018,Mattel > Elite > Retrofest,Macho Man Randy Savage,
Retrofest3,Mattel,Elite,Retrofest,,Honky Tonk Man,2018,Mattel > Elite > Retrofest,Honky Tonk Man,
Retrofest4,Mattel,Elite,Retrofest,,Hacksaw Jim Duggan,2018,Mattel > Elite > Retrofest,Hacksaw Jim Duggan,
Retrofest5,Mattel,Elite,Retrofest,,Ric Flair,2018,Mattel > Elite > Retrofest,Ric Flair,
Retrofest6,Mattel,Elite,Retrofest,,Mr. Perfect,2019,Mattel > Elite > Retrofest,Mr. Perfect,
Retrofest7,Mattel,Elite,Retrofest,,Iron Sheik,2019,Mattel > Elite > Retrofest,Iron Sheik,
FanCentElite1,Mattel,Elite,WWE Fan Central,,Mark Henry,2018,Mattel > Elite > WWE Fan Central,Mark Henry,
FanCentElite2,Mattel,Elite,WWE Fan Central,,Triple H,2018,Mattel > Elite > WWE Fan Central,Triple H,
FanCentElite3,Mattel,Elite,WWE Fan Central,,Big Show,2018,Mattel > Elite > WWE Fan Central,Big Show,
FanCentElite4,Mattel,Elite,WWE Fan Central,,Bobby Heenan,2018,Mattel > Elite > WWE Fan Central,Bobby Heenan,
FanCentElite5,Mattel,Elite,WWE Fan Central,,Carmella,2018,Mattel > Elite > WWE Fan Central,Carmella,
FanCentElite6,Mattel,Elite,WWE Fan Central,,Mojo Rawley,2018,Mattel > Elite > WWE Fan Central,Mojo Rawley,
FanCentElite7,Mattel,Elite,WWE Fan Central,,Daniel Bryan,2018,Mattel > Elite > WWE Fan Central,Daniel Bryan,
FanCentElite8,Mattel,Elite,WWE Fan Central,,Akira Tozawa,2018,Mattel > Elite > WWE Fan Central,Akira Tozawa,
Elite500,Mattel,Elite,All Stars 2-Packs,,Macho Man and John Morrison,2011,Mattel > Elite > Specials,"Macho Man, John Morrison",
Elite501,Mattel,Elite,All Stars 2-Packs,,CM Punk and Steve Austin,2011,Mattel > Elite > Specials,"CM Punk, Steve Austin",
Elite502,Mattel,Elite,All Stars 2-Packs,,Jake the Snake Roberts and Randy Orton,2011,Mattel > Elite > Specials,"Jake the Snake Roberts, Randy Orton",
MAT1669,Mattel,Elite,PPV Wrestlemania XXX,,Kane (Corporate Suit),2014,Mattel > Elite > Specials,Kane,
MAT1670,Mattel,Elite,PPV Wrestlemania XXX,,Undertaker (Build A Figure Corporate Suit Kane),2014,Mattel > Elite > Specials,Undertaker,
MAT1671,Mattel,Elite,PPV Wrestlemania XXX,,Bray Wyatt (Build A Figure Corporate Suit Kane),2014,Mattel > Elite > Specials,Bray Wyatt,
